,gene_symbol,GSM1531972,GSM1531973,GSM1531974,GSM1531975,GSM1531976,GSM1531977,GSM1531978,GSM1531979,GSM1531980,GSM1531981,GSM1531982,GSM1531983
ENSMUSG00000000001,Gnai3,161.51071,156.81426,159.12271,156.84503,156.84076,151.8847,154.43288,154.91889,161.21506,161.86148,154.67749,162.16006
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,67.7675,69.46297,69.7041,68.24058,67.61202,70.72535,61.44773,65.52116,65.35919,58.3348,64.73675,67.1383
ENSMUSG00000000031,H19,7095.92875,7171.35267,6910.37253,6877.09204,7378.10505,6993.55884,6741.78474,6894.47018,7318.73609,7332.95626,6826.76074,7006.12791
ENSMUSG00000000037,Scml2,4.75965,4.25577,4.64694,4.27084,4.1728,4.59107,3.91579,3.10675,4.21073,3.52832,4.11988,3.7435
ENSMUSG00000000049,Apoh,452.94329,539.40159,431.35709,359.21513,454.49075,351.80548,679.08351,634.82573,679.04869,704.10668,544.06319,557.9931
ENSMUSG00000000056,Narf,330.70741,320.98346,308.84491,305.61403,291.43688,299.78569,305.94415,327.88462,333.20475,311.07997,310.17282,317.25246
ENSMUSG00000000058,Cav2,5.46478,4.72464,4.71736,4.33273,4.20417,3.79427,4.72909,3.386,4.58226,6.40978,4.544,4.47821
ENSMUSG00000000078,Klf6,32.2951,32.92812,30.20511,31.1338,30.93517,30.12654,37.59165,34.38879,34.18122,43.19236,42.01688,36.17552
ENSMUSG00000000085,Scmh1,30.85791,28.77264,29.91147,31.48433,29.99147,31.74955,29.44175,29.86762,29.42587,30.50449,28.98111,31.8286
ENSMUSG00000000088,Cox5a,86.84151,85.82685,86.88016,92.54369,91.55151,90.19541,81.81771,78.08134,79.53971,70.72477,77.15043,82.75625
ENSMUSG00000000093,Tbx2,5.00644,4.03939,4.29489,3.74472,3.10607,2.88365,4.63872,4.04924,3.59149,5.08664,5.21043,2.79888
ENSMUSG00000000094,Tbx4,0.07051,0.2164,0.10567,0.09289,0.18825,0.11383,0.12049,0.13963,0,0.0294,0.21205,0.10496
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,14.21925,7.08446,8.83636,9.25061,8.78878,10.24689,7.704,9.2287,10.09654,10.09494,14.43891,8.07033
ENSMUSG00000000125,Wnt3,0,0,0,0,0,0.03794,0,0,0.03096,0,0,0.03499
ENSMUSG00000000126,Wnt9a,1.0577,0.28853,0.80969,0.52612,0.62749,0.41737,0.66267,0.55852,0.4025,0.26462,1.18144,0.41983
ENSMUSG00000000127,Fer,16.32383,15.29192,16.05307,16.15492,17.28731,14.60794,15.15112,14.66108,15.4187,14.02506,14.44989,16.51341
ENSMUSG00000000131,Xpo6,80.17365,76.92857,82.58873,85.16897,82.79728,87.42011,71.56871,72.67725,76.72184,79.03426,80.33784,78.36857
ENSMUSG00000000134,Tfe3,29.96817,30.98059,32.49336,28.34844,30.33909,30.43004,27.95273,29.53161,29.35123,28.21837,29.89576,28.33866
ENSMUSG00000000142,Axin2,2.29168,2.16395,2.6403,2.07352,2.16483,1.88932,1.80729,1.36139,1.95056,1.38193,2.84756,1.43443
ENSMUSG00000000148,Brat1,14.38472,15.76078,15.80665,14.39087,15.78134,17.41571,16.47644,15.39415,16.16177,16.46551,16.87335,16.19853
ENSMUSG00000000149,Gna12,61.43082,63.91652,65.30358,71.18072,65.23651,68.48676,61.6276,59.23803,60.71485,59.00771,62.98863,62.7807
ENSMUSG00000000154,Slc22a18,12.51614,11.72142,11.26533,11.17227,13.42827,11.83814,9.90999,10.89109,10.09338,10.93778,11.08735,11.3005
ENSMUSG00000000157,Itgb2l,5.85262,8.11483,5.80869,5.69444,5.71016,5.12227,10.30154,7.92396,8.91685,11.05537,8.57299,7.90683
ENSMUSG00000000159,Igsf5,3.24362,3.75086,3.37959,3.24955,3.16882,3.37691,3.73506,3.42092,2.94133,3.64594,2.81728,2.69783
ENSMUSG00000000167,Pih1d2,1.06201,1.11975,0.59847,1.14775,0.84711,0.91241,0.93531,0.87339,0.71216,1.08967,0.81792,0.84022
ENSMUSG00000000168,Dlat,61.38194,58.93177,65.79662,67.0646,61.68218,62.15022,57.83315,57.84131,57.34017,53.89509,61.67715,56.85204
ENSMUSG00000000171,Sdhd,203.71297,198.75943,206.1206,211.53076,208.20077,206.52265,211.15243,186.68456,194.74648,186.44282,197.24029,199.28029
ENSMUSG00000000182,Fgf23,0.07051,0.03607,0.0352,0.0619,0.03137,0.11383,0.03012,0.06981,0.12385,0.14701,0.06059,0
ENSMUSG00000000183,Fgf6,0.42308,0,0,0,0.06276,0,0,0,0,0,0.91417,0
ENSMUSG00000000184,Ccnd2,60.57654,50.34023,65.36069,70.34137,64.18293,61.67114,55.45783,54.25559,54.45759,50.949,60.9154,48.29647
ENSMUSG00000000194,Gpr107,39.78143,36.4593,39.42882,39.02951,36.80427,38.61207,34.98395,32.69346,37.30756,38.78685,39.54164,39.02903
ENSMUSG00000000197,Nalcn,0.14103,0,0.0352,0,0,0.07589,0.21085,0.03491,0.06192,0,0.18176,0.06997
ENSMUSG00000000202,Btbd17,0.14103,0.03607,0,0.0619,0,0.07589,0.09036,0.03491,0.03096,0.05881,0.30293,0.2449
ENSMUSG00000000204,Slfn4,1.55954,2.03936,1.28781,1.19845,0.83183,1.10317,2.60972,1.72271,2.75436,3.33298,2.46697,2.21595
ENSMUSG00000000214,Th,0.21154,0.03607,0,0.0619,0,0,0,0,0.18577,0,0,0
ENSMUSG00000000215,Ins2,0.10577,0.07213,0,0,0,0,0.39158,0.06981,0.27865,0.23522,0.03029,0.07813
ENSMUSG00000000216,Scnn1g,0,0.03607,0,0,0.03137,0,0.03012,0,0,0.0294,0,0
ENSMUSG00000000223,Drp2,2.57422,1.98406,1.86619,1.82615,1.60022,2.04917,1.86791,2.16489,1.5794,1.97068,2.75762,2.02948
ENSMUSG00000000244,Tspan32,62.37228,69.56077,63.69338,64.0733,59.71037,62.01505,64.5521,55.14246,60.66522,57.92117,62.08463,61.06188
ENSMUSG00000000247,Lhx2,6.24044,7.10497,7.8153,8.69641,8.31424,8.3474,7.92196,9.18063,7.183,9.05602,9.6356,8.29169
ENSMUSG00000000248,Clec2g,0.07051,0.03607,0,0.03095,0.03137,0,0,0,0.06192,0.0883,0.03029,0
ENSMUSG00000000253,Gmpr,251.19446,252.67816,259.41871,275.15687,258.68284,277.8173,251.90722,244.10363,221.49934,220.99113,236.71128,237.66063
ENSMUSG00000000263,Glra1,0,0,0,0,0,0,0,0,0,0,0,0.03499
ENSMUSG00000000266,Mid2,4.44234,3.46232,3.62602,4.08515,3.81354,2.99748,3.10252,3.76999,4.12012,4.26401,4.45357,3.95342
ENSMUSG00000000275,Trim25,96.98823,117.43197,111.4016,109.27159,111.69025,107.92245,94.19594,99.1445,120.16387,125.43431,118.14113,106.99455
ENSMUSG00000000276,Dgke,4.60659,4.95989,5.66791,5.4312,5.14317,5.08915,3.43312,3.73301,4.78911,4.07282,4.92964,4.75098
ENSMUSG00000000278,Scpep1,55.14156,52.3315,54.28461,55.08772,57.00722,54.29903,51.8091,52.25635,55.97776,56.65892,53.61919,55.8027
ENSMUSG00000000282,Mnt,21.85913,18.89851,21.19286,22.4683,19.45217,23.29684,19.9103,19.93206,23.22091,18.58248,22.96227,22.56598
ENSMUSG00000000290,Itgb2,23.72774,32.17089,23.69236,24.07764,21.58562,22.91742,27.68168,29.07782,33.19032,37.28257,31.56566,31.20753
ENSMUSG00000000295,Hddc2,8.74361,6.92464,9.15308,9.59392,8.00049,8.72686,6.56648,6.10878,6.50186,4.58681,7.48243,7.38204
ENSMUSG00000000296,Tpd52l1,0,0,0.17683,0.07644,0,0,0,0,0,0,0,0
ENSMUSG00000000301,Pemt,5.25324,6.31152,4.68214,4.42557,5.17677,5.16021,6.68696,6.00406,7.92608,8.93839,6.48275,6.22751
ENSMUSG00000000303,Cdh1,90.90778,89.97046,92.10036,89.89215,96.42081,85.22721,81.42539,92.11578,94.0601,99.64387,87.76788,90.88011
ENSMUSG00000000305,Cdh4,1.37501,1.1541,1.44337,0.95939,1.38048,1.17622,1.47596,1.885,1.30038,2.14639,2.05994,1.71431
ENSMUSG00000000308,Ckmt1,0,0.25246,0.0352,0.03095,0,0.03794,2.229,0.10472,0.03096,0.0294,0,0.03499
ENSMUSG00000000317,Bcl6b,5.39427,5.40987,5.38623,4.76602,5.71014,5.65346,5.72308,5.16628,6.81146,5.79233,5.57397,4.65314
ENSMUSG00000000318,Clec10a,0.49569,0.37613,0.46248,0.42491,0.32864,0.58104,0.40313,0.32608,0.48758,0.64177,0.31779,0.54275
ENSMUSG00000000320,Alox12,31.00151,32.95148,26.43115,30.956,22.64462,29.81612,30.76268,31.10669,32.04362,26.54551,30.45982,33.52715
ENSMUSG00000000325,Arvcf,20.96028,20.70432,20.47559,19.66689,20.63342,24.13324,20.82046,20.11423,22.59383,22.75231,24.8733,22.67871
ENSMUSG00000000326,Comt,45.92154,46.2349,46.66437,47.46198,45.7817,48.93733,44.25932,43.16009,41.37478,39.54965,42.06035,43.58759
ENSMUSG00000000339,Rtca,25.70041,22.68082,24.95078,25.83954,23.04088,25.19214,23.38271,23.64562,21.47108,19.04483,21.68445,23.21309
ENSMUSG00000000340,Dbt,50.73312,56.38833,49.26842,51.53643,50.64833,47.42483,53.66597,52.29072,55.07512,59.88927,55.34335,53.72737
ENSMUSG00000000346,Dazap2,190.77461,195.62063,198.12889,198.34686,186.70927,188.84086,191.00063,178.65654,181.40175,178.38606,192.57451,187.1752
ENSMUSG00000000355,Mcts1,18.58022,16.87883,18.90461,18.94021,19.2325,19.99581,18.97651,15.81301,18.2052,15.61278,17.96392,17.07316
ENSMUSG00000000359,Rem1,0.66988,1.15411,0.56327,0.64991,0.50199,0.75885,0.66267,1.08213,0.92884,0.67626,0.8785,0.69972
ENSMUSG00000000365,Rnf17,3.24361,3.0656,2.74592,3.03291,2.72958,2.50422,2.43984,2.30388,3.96304,2.44042,2.63551,3.60356
ENSMUSG00000000374,Trappc10,121.0716,121.57815,123.46064,130.91026,127.8196,131.661,107.4434,110.5167,108.30231,110.52449,116.68939,118.35786
ENSMUSG00000000378,Ccm2,38.07716,41.11513,41.75219,40.85155,38.52775,44.73459,40.2725,36.12913,36.72001,32.4311,36.41261,37.74989
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0,0,0,0.03029,0
ENSMUSG00000000384,Tbrg4,69.28773,67.85284,75.02459,81.21933,78.18478,85.92496,66.63896,58.91094,61.49879,55.41888,63.59533,68.31766
ENSMUSG00000000385,Tmprss2,10.3302,10.17058,10.174,8.91305,10.19669,9.78923,12.53054,10.75147,10.12431,10.0851,10.14823,10.84567
ENSMUSG00000000386,Mx1,0.86536,1.70556,1.12567,1.2221,1.46219,1.10467,1.05425,1.05722,1.81312,1.52894,1.56594,1.16895
ENSMUSG00000000392,Fap,2.00963,0.18033,0.31684,0.46438,0.31374,0.34168,0.51225,0.31417,0.43346,0.76506,2.12056,0.45482
ENSMUSG00000000394,Gcg,0.14103,0.07213,0,0,0,0,0.06024,0.10472,0,0.05881,0,0.06997
ENSMUSG00000000399,Ndufa9,49.40559,49.05796,49.05787,44.19368,52.65269,51.5344,45.2775,52.67052,40.5291,46.46417,44.99744,46.11043
ENSMUSG00000000402,Egfl6,5.13435,1.44273,1.45143,1.77758,1.35739,1.45542,1.44643,1.29768,1.30057,1.47093,6.42817,1.09779
ENSMUSG00000000409,Lck,5.50005,5.9148,5.80869,6.65385,6.36903,5.42582,6.44599,5.65498,5.88264,5.49829,5.63456,5.17794
ENSMUSG00000000411,Tssk3,0.49359,0.43279,0.31684,0.27853,0.31374,0.30354,0.15061,0.24435,0.37154,0.23522,0.15147,0.59476
ENSMUSG00000000416,Cttnbp2,2.36219,2.74101,2.95715,3.12661,3.16881,3.3769,2.5302,2.61805,2.50786,2.64624,2.64003,2.79888
ENSMUSG00000000420,Galnt1,239.4635,229.66733,236.78275,249.59643,238.63406,239.26678,212.35651,222.81334,215.79973,209.23015,223.80644,222.72097
ENSMUSG00000000435,Myf5,0.42308,0.03607,0.0352,0,0,0.03794,0,0,0.03096,0,0.57557,0.03499
ENSMUSG00000000439,Mkrn2,25.83873,25.9687,26.71959,29.49059,25.8631,26.8813,27.34985,25.07158,25.00173,25.71437,26.83314,25.89678
ENSMUSG00000000440,Pparg,2.1154,2.41641,0.95369,1.04799,1.72002,1.63154,1.40755,1.88148,1.65145,1.24198,1.76094,0.47389
ENSMUSG00000000441,Raf1,101.98802,100.75758,100.02593,101.4412,100.17993,104.10781,97.89316,87.35659,96.02394,97.0312,100.30229,103.0618
ENSMUSG00000000486,1-Sep,13.53858,15.65259,14.3633,14.11233,12.83216,15.48064,15.15113,13.75351,14.397,13.40762,15.05576,13.88945
ENSMUSG00000000489,Pdgfb,5.64106,4.90496,4.99898,4.8279,3.85906,4.78078,6.59661,4.08417,5.97553,3.73415,6.7251,5.52778
ENSMUSG00000000530,Acvrl1,5.32376,5.01315,5.21021,5.50877,5.05128,5.16022,5.45199,4.67758,5.44918,6.23336,6.33129,5.59777
ENSMUSG00000000531,Grasp,1.65706,1.73116,1.21751,2.31811,1.22424,1.48139,2.0805,1.64195,1.73634,1.91021,2.03043,2.027
ENSMUSG00000000532,Acvr1b,24.7149,24.32548,24.50207,23.39476,24.47207,27.28084,23.88636,24.43514,25.45013,26.49176,25.76439,25.39981
ENSMUSG00000000538,Tom1l2,23.62196,21.86432,21.91089,21.29432,21.87769,23.56558,19.7296,21.11894,21.81409,21.32763,23.30124,22.35605
ENSMUSG00000000544,Gpa33,0.03526,0.18033,0.0352,0.0619,0,0.03794,1.62656,0,0.03096,0,0,0.03499
ENSMUSG00000000552,Zfp385a,32.43606,34.87582,32.42301,31.19574,30.96653,32.13744,31.74821,36.30362,36.56526,33.519,34.26204,36.03565
ENSMUSG00000000555,Itga5,65.64802,61.2543,63.12105,59.03309,61.14867,59.87362,56.44763,69.36216,70.65365,67.51079,70.49592,63.95422
ENSMUSG00000000560,Gabra2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000561,Wdr77,61.57073,58.77045,65.56819,70.24886,63.47823,64.62309,58.32985,58.03735,59.80605,53.33588,62.8023,59.0781
ENSMUSG00000000562,Adora3,1.47944,1.61095,1.44392,1.02291,0.97301,1.05314,1.48335,1.55382,1.497,1.59929,1.39411,1.15454
ENSMUSG00000000563,Atp5f1,302.82236,291.13707,306.79251,320.79659,303.83261,305.00366,301.04939,273.73806,257.93377,253.48885,275.9519,278.38228
ENSMUSG00000000567,Sox9,1.37501,1.56407,1.13864,1.34342,0.92565,0.9366,2.01814,1.64065,1.82671,1.97703,2.46108,1.39944
ENSMUSG00000000568,Hnrnpd,258.93939,261.28383,263.1976,280.24379,264.78791,279.46589,244.01524,252.14359,251.60936,235.34944,263.71579,260.16638
ENSMUSG00000000579,Dynlt1c,10.84197,10.11017,10.73399,10.15124,8.7996,11.06718,9.79559,8.92488,11.83358,11.87867,10.92592,11.50866
ENSMUSG00000000581,C1d,41.8848,42.23321,43.51217,44.47238,42.98313,40.25724,38.25429,38.15371,38.54669,35.8124,37.26074,36.63034
ENSMUSG00000000594,Gm2a,36.38486,42.66598,37.14033,33.14542,36.51982,33.23782,42.10987,45.44921,46.16333,50.80784,45.56124,42.64777
ENSMUSG00000000600,Krit1,33.31573,34.00648,33.89962,39.01127,36.56242,31.76054,27.79992,32.39453,33.5421,31.3206,34.88154,34.61792
ENSMUSG00000000605,Clcn4,35.07412,33.5924,35.5034,33.84979,33.24343,33.78551,30.22577,28.9079,33.14726,33.20419,33.06316,30.1752
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0.03137,0,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,0.30913,0.46886,0.24643,0.14564,0.1255,0.13318,0.39158,0.34907,0.43346,0.41164,0.24235,0.13994
ENSMUSG00000000627,Sema4f,0.21193,0.14452,0.10622,0.16066,0,0.15231,0.32529,0,0.24835,0.08822,0.15198,0.10525
ENSMUSG00000000628,Hk2,22.63479,17.85261,17.90979,16.57994,19.82866,18.20372,16.64861,20.23711,20.31059,20.69944,19.14573,16.68833
ENSMUSG00000000631,Myo18a,130.85292,130.89711,130.24963,136.64297,135.17394,145.34129,109.74754,132.57821,131.63962,131.25939,137.97128,133.96255
ENSMUSG00000000632,Sez6,0.63462,1.0491,1.1221,0.40383,0.53004,0.75392,0.54232,0.66324,0.64873,0.68057,0.86479,1.18952
ENSMUSG00000000673,Haao,39.45225,38.55444,32.8103,30.70055,36.64542,31.87201,30.15164,37.31602,36.90581,32.54879,31.68678,37.75002
ENSMUSG00000000682,Cd52,8.91993,14.49847,9.64593,8.8202,9.82019,9.97892,12.50043,9.77403,13.18948,10.49672,11.48115,11.40541
ENSMUSG00000000686,Abhd15,3.75269,4.11151,3.98582,3.84307,4.00298,3.90495,2.85676,3.33719,3.78527,3.56142,3.22122,4.75786
ENSMUSG00000000690,Hoxb6,0.17628,0.03607,0.07267,0.0619,0,0.07589,0.10589,0.03491,0.03096,0.11761,0.1268,0.06997
ENSMUSG00000000693,Loxl3,5.42532,6.12762,6.25486,5.61422,5.24932,6.31946,5.97071,5.90814,6.37183,5.03163,7.03373,5.24599
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,10.56165,9.52236,7.83422,7.81028,7.88426,7.87217,5.30137,5.78144,6.93151,6.37896,7.46494,8.30176
ENSMUSG00000000708,Kat2b,55.10602,50.27579,55.65771,53.60223,52.26992,51.14387,50.81495,50.19671,53.40835,56.95281,52.77066,52.9339
ENSMUSG00000000711,Rab5b,82.25387,81.00398,81.25827,78.17492,76.1145,77.03502,81.08694,79.79819,84.24546,86.79666,87.55608,81.93736
ENSMUSG00000000724,Cryba1,0.07066,0.10824,0.03619,0,0.06285,0.07591,0.09047,0,0.155,0.1184,0.03034,0.035
ENSMUSG00000000730,Dnmt3l,0,0,0.0352,0,0,0.03794,0,0,0.03096,0.05881,0,0.03499
ENSMUSG00000000731,Aire,2.16074,2.26483,1.24516,1.1139,2.37872,1.5434,1.80174,1.75561,2.07642,2.02562,1.41149,2.03764
ENSMUSG00000000732,Icosl,7.05133,7.32138,6.8296,6.46816,6.83963,6.90558,5.72307,6.35314,5.78975,6.11575,6.2707,6.0176
ENSMUSG00000000738,Spg7,50.04288,51.3833,48.2,52.77273,47.85798,53.41677,46.20749,46.62449,43.38453,44.21731,48.49143,47.46731
ENSMUSG00000000739,Sult5a1,1.30263,1.05236,1.14594,0.74293,0.61857,1.30419,1.06097,0.98997,1.16253,1.01461,1.11812,0.99959
ENSMUSG00000000740,Rpl13,473.44863,455.90905,483.697,505.25121,469.26243,549.29183,532.7083,480.80286,482.24718,468.41146,488.57618,487.35357
ENSMUSG00000000743,Chmp1a,72.38209,76.02685,78.08277,80.02708,73.82412,84.76415,73.82429,70.72234,69.41079,69.83122,74.73358,72.73604
ENSMUSG00000000751,Rpa1,205.1938,200.85089,207.84514,211.68497,201.76892,212.8968,172.26491,186.12594,183.53819,176.3885,189.57509,196.58638
ENSMUSG00000000753,Serpinf1,192.43078,206.72956,188.48277,185.78141,200.608,179.6207,219.37478,224.07053,223.04478,226.63515,206.50919,212.35791
ENSMUSG00000000759,Tubgcp3,85.53447,87.47086,88.92285,93.74037,90.8872,96.08237,81.13382,75.49228,81.04349,81.49969,80.96313,85.80115
ENSMUSG00000000766,Oprm1,0.03526,0.07213,0.0352,0,0,0,0.03012,0.03491,0.06202,0.05881,0,0
ENSMUSG00000000776,Polr3d,20.13159,18.17722,21.9673,25.43933,23.49951,23.67635,21.86823,18.11692,19.35079,19.43516,20.69032,17.14315
ENSMUSG00000000782,Tcf7,5.04172,6.09514,5.98471,6.93237,5.74152,5.99496,5.57247,5.48045,5.78975,6.17455,5.90718,5.17793
ENSMUSG00000000787,Ddx3x,422.55731,391.45902,433.98521,473.25931,450.91444,435.99976,350.30955,381.72139,400.73119,375.47155,400.84025,391.28357
ENSMUSG00000000791,Il12rb1,0,0,0,0.14358,0,0.18417,0,0,0,0,0,0
ENSMUSG00000000792,Slc5a5,0.14103,0.1082,0.07041,0.0619,0.18825,0.18971,0.06024,0.10472,0.09288,0.20582,0.12117,0
ENSMUSG00000000794,Kcnn3,0.45834,0.18033,0.10561,0.30948,0.09412,0.11383,0.48194,0.17454,0.21673,0.17642,0.78762,0.45482
ENSMUSG00000000804,Usp32,305.49869,292.89087,307.57821,299.05129,301.28858,290.11191,254.55633,304.77599,299.45698,310.8743,298.90365,299.23528
ENSMUSG00000000805,Car4,0.21154,0.14426,0.31684,0.12379,0.1255,0.15177,0.03012,0.20944,0.12385,0.0294,0.12117,0.06997
ENSMUSG00000000811,Txnrd3,5.60582,6.13121,5.73826,7.64417,6.68275,7.09528,6.59662,6.49277,5.82072,6.6156,6.7857,6.61236
ENSMUSG00000000817,Fasl,0,0.07213,0.10561,0.03095,0.1255,0,0.06024,0.03491,0.15481,0.0294,0.06059,0
ENSMUSG00000000823,Zfp512b,39.0791,40.41322,39.42328,42.07341,40.69646,44.09538,40.24285,38.14682,41.21046,38.46128,43.37068,41.99591
ENSMUSG00000000826,Dnajc5,101.82106,104.73524,104.27463,106.61639,103.56706,103.46988,98.52742,99.52063,105.13556,99.16121,102.84562,101.35454
ENSMUSG00000000827,Tpd52l2,68.93987,65.09884,69.3291,70.11566,67.50006,64.61647,67.91447,59.41221,67.7226,59.28295,65.58503,64.29508
ENSMUSG00000000838,Fmr1,104.47976,96.30096,109.39526,110.64989,109.85049,105.30198,88.26646,92.43763,96.40214,95.37387,103.86687,104.34489
ENSMUSG00000000861,Bcl11a,77.96771,72.86046,76.69239,81.48284,75.03984,81.99842,63.49889,64.65237,68.12449,70.70564,71.10447,74.77653
ENSMUSG00000000869,Il4,0.28205,0.25246,0.38725,0.30948,0.37649,0.41737,0.27109,0.4538,0.34057,0.23522,0.36352,0.52479
ENSMUSG00000000876,Pxmp4,46.28203,48.66103,45.163,42.02548,46.27486,43.3961,52.8679,51.87449,54.04797,54.61654,51.56474,52.04066
ENSMUSG00000000881,Dlg3,9.13147,7.10498,9.04745,8.82019,8.69071,8.95447,9.06658,9.07591,8.45243,8.67377,9.63326,9.83107
ENSMUSG00000000884,Gnb1l,6.64822,6.50509,6.04006,7.30215,6.78354,7.54463,5.73595,5.19065,5.87206,5.05289,5.81785,5.46933
ENSMUSG00000000889,Dbh,0.28205,0.03607,0,0.09284,0,0,0.06024,0.03491,0,0.0294,0.12117,0
ENSMUSG00000000901,Mmp11,3.94875,2.12789,2.71072,2.01163,2.57271,2.46628,3.52422,2.3388,3.06516,2.85206,4.029,2.72891
ENSMUSG00000000902,Smarcb1,56.56425,59.12874,54.85326,58.38659,58.11899,65.76736,53.87592,54.40167,56.87957,53.721,59.72096,56.01174
ENSMUSG00000000903,Vpreb3,1.41026,1.3705,1.86581,0.80465,1.09811,1.51771,2.59045,2.05953,2.22921,1.99938,1.57525,1.81927
ENSMUSG00000000915,Hip1r,57.62283,60.94648,62.48998,63.24044,62.80613,69.86084,68.99581,61.93541,71.80195,75.78404,65.01807,60.58507
ENSMUSG00000000916,Nsun5,15.28859,14.8299,15.91592,18.39831,14.16034,17.42909,14.5785,13.69911,14.8347,14.74757,14.47006,14.97288
ENSMUSG00000000934,Top1mt,14.06743,13.74111,14.85615,14.97889,14.52637,15.25298,16.20538,13.57896,15.41856,13.2018,14.17726,14.72913
ENSMUSG00000000938,Hoxa10,0.03526,0.03607,0.10561,0.03095,0.09412,0.03794,0.03012,0,0,0.0294,0.12117,0.27989
ENSMUSG00000000942,Hoxa4,0.94478,0.53469,0.52806,0.37138,0.37649,0.64503,1.13802,0.59342,0.4298,0.38223,0.63616,0.31487
ENSMUSG00000000948,Snurf,1.98904,1.76915,2.1527,2.39412,2.26795,2.55943,1.79083,1.82657,2.18663,2.07656,2.2573,2.57647
ENSMUSG00000000957,Mmp14,60.56172,63.5921,53.94749,55.47604,58.4296,55.47035,55.46689,62.73463,63.49456,63.4673,69.48719,57.90629
ENSMUSG00000000958,Slc7a7,1.3274,8.46756,9.61886,3.23848,6.49845,5.7777,6.96541,8.05784,3.90457,8.09612,9.45016,5.27494
ENSMUSG00000000959,Oxa1l,48.81668,51.15993,46.26684,51.4507,49.27914,50.10484,46.36452,44.81284,45.36376,44.68135,47.9278,48.84911
ENSMUSG00000000976,Heatr6,21.71812,23.91169,22.10867,24.26626,25.00246,24.01773,21.9191,21.11892,23.49826,24.40257,24.02877,23.49603
ENSMUSG00000000982,Ccl3,0.70513,0.64919,0.56327,0.18569,0.59611,0.30354,0.78316,0.59342,0.37154,0.55865,0.63616,0.4898
ENSMUSG00000000983,Wfdc18,0.03526,0,0,0,0,0,0,0,0,0.08821,0,0
ENSMUSG00000001014,Icam4,43.38051,51.29925,53.78539,47.49025,48.97116,60.03793,42.84042,54.95863,45.94085,52.8475,47.41476,60.33104
ENSMUSG00000001016,Ilf2,53.37106,47.9922,54.41555,51.33881,49.57284,54.09656,49.06195,51.90314,48.76967,45.43186,46.76143,45.54392
ENSMUSG00000001017,Chtop,121.77663,122.91251,127.93186,133.66506,127.85067,132.38228,122.29334,120.08128,116.04292,112.8165,124.98976,120.17681
ENSMUSG00000001018,Snapin,16.27719,17.15177,17.74462,18.20613,17.29554,18.1844,16.66414,15.91836,17.41891,16.43874,18.26325,17.13677
ENSMUSG00000001020,S100a4,0.63462,0.86558,0.49286,0.46422,0.59611,0.75885,0.72291,0.73305,0.52634,0.55865,0.78762,0.66473
ENSMUSG00000001021,S100a3,0,0,0,0,0,0,0,0,0,0,0,0.03499
ENSMUSG00000001023,S100a5,0,0,0,0,0,0,0,0,0,0,0,0.03499
ENSMUSG00000001025,S100a6,0.79786,0.48941,0.88575,0.36245,0.80289,0.86293,1.20194,1.38752,0.51713,0.78206,0.5848,0.86817
ENSMUSG00000001027,Scn4a,1.02244,0.2164,0.17602,0.09284,0.06275,0.15177,0.24097,0.27926,0.12385,0.26462,1.27231,0.38485
ENSMUSG00000001029,Icam2,10.57701,10.06239,10.84288,11.48176,9.9457,9.52364,9.78951,10.15804,11.33183,8.82081,10.08767,9.55119
ENSMUSG00000001034,Mapk7,17.09948,17.34768,15.66584,14.11233,16.0951,17.52955,17.60524,16.37154,18.82444,16.99474,19.96326,16.96821
ENSMUSG00000001036,Epn2,9.97766,9.23286,8.58981,9.4701,9.38096,9.10625,9.45814,8.83154,7.64741,9.79109,10.36031,8.60655
ENSMUSG00000001039,B9d1,1.51604,1.26231,1.19694,1.02129,1.2236,1.06239,1.02413,1.11703,1.08364,0.99969,1.45407,1.29448
ENSMUSG00000001052,Sec24b,44.03558,45.4069,46.39899,45.43179,43.67323,44.92418,40.905,44.82101,46.47283,46.30913,49.55978,45.20145
ENSMUSG00000001053,N4bp3,5.78209,4.07544,3.44999,3.58998,3.54532,3.11131,4.48811,3.83981,4.42746,4.02817,6.69481,3.74351
ENSMUSG00000001054,Rmnd5b,22.98734,22.7576,24.50208,26.98668,24.53484,26.2944,22.47065,19.8623,19.47464,18.40605,21.96258,21.37647
ENSMUSG00000001056,Nhp2,58.27929,53.01677,61.74801,67.62158,65.35288,68.10716,51.11617,50.54579,48.67102,44.04512,51.61965,52.44398
ENSMUSG00000001062,Vps9d1,12.0795,10.95406,11.60068,10.36671,11.05241,12.59194,11.68924,10.90423,11.69666,10.69303,11.59872,11.14273
ENSMUSG00000001065,Zfp276,18.93238,19.46043,19.32359,20.44989,18.33324,23.38675,19.13258,17.486,18.5009,18.32605,19.44481,19.5884
